source,repeat,time
matvec_original,1,0.664394
matvec_original,2,0.600466
matvec_original,3,0.600812
matvec_loopswap,1,0.250162
matvec_loopswap,2,0.248931
matvec_loopswap,3,0.249355
matvec_loopswap_padding,1,0.260037
matvec_loopswap_padding,2,0.257821
matvec_loopswap_padding,3,0.256848
matvec_loopswap_unroll,1,0.441387
matvec_loopswap_unroll,2,0.441068
matvec_loopswap_unroll,3,0.441226
matvec_blocking_1_8_8,1,0.736080
matvec_blocking_1_8_8,2,0.729841
matvec_blocking_1_8_8,3,0.731289
matvec_blocking_4_4_4,1,0.711359
matvec_blocking_4_4_4,2,0.713432
matvec_blocking_4_4_4,3,0.718963
matvec_blocking_8_8_8,1,0.554152
matvec_blocking_8_8_8,2,0.553156
matvec_blocking_8_8_8,3,0.553592
matvec_blocking_16_16_16,1,0.472607
matvec_blocking_16_16_16,2,0.472245
matvec_blocking_16_16_16,3,0.472356
matvec_blocking_32_32_32,1,0.537452
matvec_blocking_32_32_32,2,0.537277
matvec_blocking_32_32_32,3,0.537197
matvec_blocking_48_48_48,1,0.587835
matvec_blocking_48_48_48,2,0.587686
matvec_blocking_48_48_48,3,0.588154
matvec_blocking_40_8_8,1,0.523354
matvec_blocking_40_8_8,2,0.522281
matvec_blocking_40_8_8,3,0.522157
matvec_blocking_8_8_40,1,0.611065
matvec_blocking_8_8_40,2,0.610705
matvec_blocking_8_8_40,3,0.610836
matvec_blocking_64_64_64,1,0.632788
matvec_blocking_64_64_64,2,0.632219
matvec_blocking_64_64_64,3,0.632785
matvec_blocking_128_128_128,1,0.757226
matvec_blocking_128_128_128,2,0.757843
matvec_blocking_128_128_128,3,0.757315
